time_of_day_key,time,hour
175900,17:59:00.000000,17
180000,18:00:00.000000,18
180100,18:01:00.000000,18
180200,18:02:00.000000,18
180300,18:03:00.000000,18
180400,18:04:00.000000,18
180500,18:05:00.000000,18
180600,18:06:00.000000,18
180700,18:07:00.000000,18
180800,18:08:00.000000,18
180900,18:09:00.000000,18
181000,18:10:00.000000,18
181100,18:11:00.000000,18
181200,18:12:00.000000,18
181300,18:13:00.000000,18
181400,18:14:00.000000,18
181600,18:16:00.000000,18
181700,18:17:00.000000,18
181800,18:18:00.000000,18
181900,18:19:00.000000,18
182000,18:20:00.000000,18
182100,18:21:00.000000,18
182200,18:22:00.000000,18
182300,18:23:00.000000,18
182400,18:24:00.000000,18
182500,18:25:00.000000,18
182600,18:26:00.000000,18
182700,18:27:00.000000,18
182800,18:28:00.000000,18
182900,18:29:00.000000,18
183000,18:30:00.000000,18
183100,18:31:00.000000,18
183200,18:32:00.000000,18
183300,18:33:00.000000,18
183400,18:34:00.000000,18
183500,18:35:00.000000,18
183600,18:36:00.000000,18
183700,18:37:00.000000,18
183800,18:38:00.000000,18
183900,18:39:00.000000,18
184000,18:40:00.000000,18
184100,18:41:00.000000,18
184200,18:42:00.000000,18
184300,18:43:00.000000,18
184500,18:45:00.000000,18
184600,18:46:00.000000,18
184700,18:47:00.000000,18
184800,18:48:00.000000,18
185000,18:50:00.000000,18
185100,18:51:00.000000,18
185200,18:52:00.000000,18
185300,18:53:00.000000,18
185400,18:54:00.000000,18
185500,18:55:00.000000,18
185600,18:56:00.000000,18
185800,18:58:00.000000,18
185900,18:59:00.000000,18
190000,19:00:00.000000,19
190100,19:01:00.000000,19
190200,19:02:00.000000,19
190300,19:03:00.000000,19
190400,19:04:00.000000,19
190500,19:05:00.000000,19
190600,19:06:00.000000,19
190700,19:07:00.000000,19
190800,19:08:00.000000,19
190900,19:09:00.000000,19
191000,19:10:00.000000,19
191100,19:11:00.000000,19
191200,19:12:00.000000,19
191300,19:13:00.000000,19
191400,19:14:00.000000,19
191500,19:15:00.000000,19
191600,19:16:00.000000,19
191700,19:17:00.000000,19
191800,19:18:00.000000,19
191900,19:19:00.000000,19
192000,19:20:00.000000,19
192200,19:22:00.000000,19
192300,19:23:00.000000,19
192400,19:24:00.000000,19
192500,19:25:00.000000,19
192600,19:26:00.000000,19
192700,19:27:00.000000,19
192800,19:28:00.000000,19
193000,19:30:00.000000,19
193100,19:31:00.000000,19
193200,19:32:00.000000,19
193300,19:33:00.000000,19
193400,19:34:00.000000,19
193500,19:35:00.000000,19
193600,19:36:00.000000,19
193700,19:37:00.000000,19
193800,19:38:00.000000,19
193900,19:39:00.000000,19
194000,19:40:00.000000,19
194200,19:42:00.000000,19
194300,19:43:00.000000,19
194400,19:44:00.000000,19
194500,19:45:00.000000,19
194600,19:46:00.000000,19
194800,19:48:00.000000,19
194900,19:49:00.000000,19
195000,19:50:00.000000,19
195200,19:52:00.000000,19
195300,19:53:00.000000,19
195500,19:55:00.000000,19
195600,19:56:00.000000,19
195700,19:57:00.000000,19
195800,19:58:00.000000,19
195900,19:59:00.000000,19
200100,20:01:00.000000,20
200200,20:02:00.000000,20
200300,20:03:00.000000,20
200400,20:04:00.000000,20
200500,20:05:00.000000,20
200600,20:06:00.000000,20
200800,20:08:00.000000,20
200900,20:09:00.000000,20
201000,20:10:00.000000,20
201100,20:11:00.000000,20
201200,20:12:00.000000,20
201300,20:13:00.000000,20
201400,20:14:00.000000,20
201500,20:15:00.000000,20
201800,20:18:00.000000,20
201900,20:19:00.000000,20
202100,20:21:00.000000,20
202200,20:22:00.000000,20
202400,20:24:00.000000,20
202600,20:26:00.000000,20
202700,20:27:00.000000,20
202800,20:28:00.000000,20
202900,20:29:00.000000,20
203100,20:31:00.000000,20
203300,20:33:00.000000,20
203400,20:34:00.000000,20
203600,20:36:00.000000,20
203700,20:37:00.000000,20
203800,20:38:00.000000,20
203900,20:39:00.000000,20
204000,20:40:00.000000,20
204100,20:41:00.000000,20
204200,20:42:00.000000,20
204300,20:43:00.000000,20
204400,20:44:00.000000,20
204500,20:45:00.000000,20
204600,20:46:00.000000,20
204700,20:47:00.000000,20
204800,20:48:00.000000,20
204900,20:49:00.000000,20
205000,20:50:00.000000,20
205100,20:51:00.000000,20
205200,20:52:00.000000,20
205300,20:53:00.000000,20
205400,20:54:00.000000,20
205500,20:55:00.000000,20
205600,20:56:00.000000,20
205700,20:57:00.000000,20
205800,20:58:00.000000,20
205900,20:59:00.000000,20
210000,21:00:00.000000,21
210100,21:01:00.000000,21
210200,21:02:00.000000,21
210300,21:03:00.000000,21
210400,21:04:00.000000,21
210500,21:05:00.000000,21
210600,21:06:00.000000,21
210700,21:07:00.000000,21
210800,21:08:00.000000,21
210900,21:09:00.000000,21
211000,21:10:00.000000,21
211100,21:11:00.000000,21
211200,21:12:00.000000,21
211300,21:13:00.000000,21
211400,21:14:00.000000,21
211500,21:15:00.000000,21
211600,21:16:00.000000,21
211700,21:17:00.000000,21
211800,21:18:00.000000,21
211900,21:19:00.000000,21
212000,21:20:00.000000,21
212100,21:21:00.000000,21
212200,21:22:00.000000,21
212300,21:23:00.000000,21
212400,21:24:00.000000,21
212500,21:25:00.000000,21
212600,21:26:00.000000,21
212700,21:27:00.000000,21
212800,21:28:00.000000,21
212900,21:29:00.000000,21
213000,21:30:00.000000,21
213100,21:31:00.000000,21
213200,21:32:00.000000,21
213300,21:33:00.000000,21
213400,21:34:00.000000,21
213500,21:35:00.000000,21
213600,21:36:00.000000,21
213700,21:37:00.000000,21
213800,21:38:00.000000,21
213900,21:39:00.000000,21
214000,21:40:00.000000,21
214100,21:41:00.000000,21
214300,21:43:00.000000,21
214400,21:44:00.000000,21
214500,21:45:00.000000,21
214600,21:46:00.000000,21
214700,21:47:00.000000,21
214800,21:48:00.000000,21
214900,21:49:00.000000,21
215000,21:50:00.000000,21
215100,21:51:00.000000,21
215200,21:52:00.000000,21
215300,21:53:00.000000,21
215400,21:54:00.000000,21
215500,21:55:00.000000,21
215600,21:56:00.000000,21
215700,21:57:00.000000,21
215800,21:58:00.000000,21
215900,21:59:00.000000,21
220000,22:00:00.000000,22
220100,22:01:00.000000,22
220200,22:02:00.000000,22
220300,22:03:00.000000,22
220400,22:04:00.000000,22
220500,22:05:00.000000,22
220700,22:07:00.000000,22
220800,22:08:00.000000,22
220900,22:09:00.000000,22
221000,22:10:00.000000,22
221100,22:11:00.000000,22
221200,22:12:00.000000,22
221400,22:14:00.000000,22
221500,22:15:00.000000,22
221600,22:16:00.000000,22
221700,22:17:00.000000,22
221800,22:18:00.000000,22
221900,22:19:00.000000,22
222000,22:20:00.000000,22
222200,22:22:00.000000,22
222300,22:23:00.000000,22
222400,22:24:00.000000,22
222500,22:25:00.000000,22
222600,22:26:00.000000,22
222700,22:27:00.000000,22
222800,22:28:00.000000,22
222900,22:29:00.000000,22
223000,22:30:00.000000,22
223200,22:32:00.000000,22
223300,22:33:00.000000,22
223400,22:34:00.000000,22
223600,22:36:00.000000,22
223900,22:39:00.000000,22
224000,22:40:00.000000,22
224200,22:42:00.000000,22
224400,22:44:00.000000,22
224600,22:46:00.000000,22
224700,22:47:00.000000,22
224800,22:48:00.000000,22
225000,22:50:00.000000,22
225200,22:52:00.000000,22
225300,22:53:00.000000,22
225400,22:54:00.000000,22
225500,22:55:00.000000,22
225600,22:56:00.000000,22
225700,22:57:00.000000,22
225900,22:59:00.000000,22
230100,23:01:00.000000,23
230200,23:02:00.000000,23
230500,23:05:00.000000,23
230600,23:06:00.000000,23
230700,23:07:00.000000,23
230900,23:09:00.000000,23
231000,23:10:00.000000,23
231100,23:11:00.000000,23
231300,23:13:00.000000,23
231400,23:14:00.000000,23
231500,23:15:00.000000,23
231600,23:16:00.000000,23
231700,23:17:00.000000,23
231800,23:18:00.000000,23
231900,23:19:00.000000,23
232100,23:21:00.000000,23
232200,23:22:00.000000,23
232300,23:23:00.000000,23
232400,23:24:00.000000,23
232500,23:25:00.000000,23
232600,23:26:00.000000,23
232700,23:27:00.000000,23
232800,23:28:00.000000,23
232900,23:29:00.000000,23
233000,23:30:00.000000,23
233100,23:31:00.000000,23
233200,23:32:00.000000,23
233300,23:33:00.000000,23
233500,23:35:00.000000,23
233600,23:36:00.000000,23
233800,23:38:00.000000,23
233900,23:39:00.000000,23
234000,23:40:00.000000,23
234200,23:42:00.000000,23
234300,23:43:00.000000,23
234500,23:45:00.000000,23
234700,23:47:00.000000,23
234800,23:48:00.000000,23
235200,23:52:00.000000,23
235500,23:55:00.000000,23
235700,23:57:00.000000,23
235800,23:58:00.000000,23
